Sorting Algorith Name,Array Length,Num. of Comparisons,Run Time
selection_sort,2000,1999000,155.0171
insertion_sort,2000,1003192,152.7295
merge_sort,2000,21952,6.6192
quick_sort,2000,1999,3.4468
bubble_sort,2000,1999000,283.0484
optimal_bubble_sort,2000,1999,0.1719
heap_sort,2000,15924,7.8897
general_count_sort,2000,0,0.7174
selection_sort,100,4950,0.3438
insertion_sort,100,2663,0.3271
merge_sort,100,672,0.2599
quick_sort,100,99,0.1721
bubble_sort,100,4950,1.2429
optimal_bubble_sort,100,99,0.0253
heap_sort,100,462,0.33
general_count_sort,100,0,0.0701
selection_sort,200,19900,1.6921
insertion_sort,200,10429,1.55
merge_sort,200,1544,0.6101
quick_sort,200,199,0.2568
bubble_sort,200,19900,2.5625
optimal_bubble_sort,200,199,0.0184
heap_sort,200,1078,0.5729
general_count_sort,200,0,0.0935
selection_sort,400,79800,5.5001
insertion_sort,400,39125,5.0902
merge_sort,400,3488,1.1778
quick_sort,400,399,0.5133
bubble_sort,400,79800,9.9711
optimal_bubble_sort,400,399,0.0343
heap_sort,400,2549,1.3094
general_count_sort,400,0,0.1409
selection_sort,800,319600,22.9681
insertion_sort,800,162633,23.6392
merge_sort,800,7776,2.8694
quick_sort,800,799,1.4501
bubble_sort,800,319600,52.839
optimal_bubble_sort,800,799,0.0734
heap_sort,800,5767,3.0968
general_count_sort,800,0,0.2851
selection_sort,1000,499500,35.3737
insertion_sort,1000,247737,34.8256
merge_sort,1000,9976,2.9993
quick_sort,1000,999,1.4963
bubble_sort,1000,499500,71.0473
optimal_bubble_sort,1000,999,0.1125
heap_sort,1000,7420,4.1003
general_count_sort,1000,0,0.3867
selection_sort,2000,1999000,145.427
insertion_sort,2000,971144,139.112
merge_sort,2000,21952,6.4032
quick_sort,2000,1999,3.4151
bubble_sort,2000,1999000,269.0697
optimal_bubble_sort,2000,1999,0.1976
heap_sort,2000,15942,7.7882
general_count_sort,2000,0,0.6566
selection_sort,100,4950,0.3674
insertion_sort,100,2399,0.2992
merge_sort,100,672,0.2327
quick_sort,100,99,0.1051
bubble_sort,100,4950,0.591
optimal_bubble_sort,100,99,0.011
heap_sort,100,464,0.262
general_count_sort,100,0,0.047
selection_sort,200,19900,1.3745
insertion_sort,200,9651,1.2136
merge_sort,200,1544,0.4809
quick_sort,200,199,0.2372
bubble_sort,200,19900,2.3696
optimal_bubble_sort,200,199,0.0179
heap_sort,200,1119,0.5867
general_count_sort,200,0,0.0765
selection_sort,400,79800,5.5313
insertion_sort,400,39572,5.0561
merge_sort,400,3488,1.04
quick_sort,400,399,0.4981
bubble_sort,400,79800,10.2174
optimal_bubble_sort,400,399,0.0358
heap_sort,400,2518,1.4768
general_count_sort,400,0,0.1419
selection_sort,800,319600,23.0691
insertion_sort,800,147292,20.5197
merge_sort,800,7776,2.3406
quick_sort,800,799,1.1358
bubble_sort,800,319600,43.124
optimal_bubble_sort,800,799,0.1175
heap_sort,800,5741,3.5229
general_count_sort,800,0,0.2995
selection_sort,1000,499500,40.7999
insertion_sort,1000,238704,39.0992
merge_sort,1000,9976,3.6583
quick_sort,1000,999,2.4855
bubble_sort,1000,499500,109.3423
optimal_bubble_sort,1000,999,0.1223
heap_sort,1000,7317,4.3647
general_count_sort,1000,0,0.3695
selection_sort,2000,1999000,149.1804
insertion_sort,2000,978070,142.0455
merge_sort,2000,21952,8.6641
quick_sort,2000,1999,4.2326
bubble_sort,2000,1999000,344.2054
optimal_bubble_sort,2000,1999,0.2191
heap_sort,2000,16012,8.4093
general_count_sort,2000,0,0.6645
selection_sort,100,4950,0.3703
insertion_sort,100,2583,0.3364
merge_sort,100,672,0.2656
quick_sort,100,99,0.0985
bubble_sort,100,4950,0.6518
optimal_bubble_sort,100,99,0.0107
heap_sort,100,461,0.2739
general_count_sort,100,0,0.0474
selection_sort,100,4950,0.3586
insertion_sort,100,2544,0.3326
merge_sort,100,672,0.2854
quick_sort,100,99,0.1421
bubble_sort,100,4950,0.6714
optimal_bubble_sort,100,99,0.0117
heap_sort,100,466,0.3822
general_count_sort,100,0,0.0539
selection_sort,100,4950,0.3633
insertion_sort,100,2818,0.366
merge_sort,100,672,0.2644
quick_sort,100,99,0.1106
bubble_sort,100,4950,0.6516
optimal_bubble_sort,100,99,0.0107
heap_sort,100,458,0.263
general_count_sort,100,0,0.0482
selection_sort,100,4950,0.3636
insertion_sort,100,2537,0.3328
merge_sort,100,672,0.2809
quick_sort,100,99,0.1326
bubble_sort,100,4950,1.0924
optimal_bubble_sort,100,99,0.0157
heap_sort,100,459,0.3018
general_count_sort,100,0,0.0534
selection_sort,100,4950,0.3753
insertion_sort,100,2597,0.3295
merge_sort,100,672,0.2875
quick_sort,100,99,0.1748
bubble_sort,100,4950,0.705
optimal_bubble_sort,100,99,0.0117
heap_sort,100,470,0.3057
general_count_sort,100,0,0.0491
selection_sort,100,4950,0.3467
insertion_sort,100,2856,0.3736
merge_sort,100,672,0.2701
quick_sort,100,99,0.1104
bubble_sort,100,4950,0.6514
optimal_bubble_sort,100,99,0.0103
heap_sort,100,471,0.2625
